name,item,ability,level,tera_type,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Whimsicott,Covert Cloak,Prankster,50,Water,,0,0,0,0,0,0,31,31,31,31,31,31,Moonblast,Tailwind,Light Screen,Encore
Urshifu-Rapid-Strike,Choice Band,Unseen Fist,50,Ghost,,0,0,0,0,0,0,31,31,31,31,31,31,Surging Strikes,U-turn,Aqua Jet,Close Combat
Ursaluna,Flame Orb,Guts,50,Ghost,,0,0,0,0,0,0,31,31,31,31,31,31,Facade,Headlong Rush,Earthquake,Protect
Miraidon,Choice Specs,Hadron Engine,50,Fairy,,0,0,0,0,0,0,31,31,31,31,31,31,Electro Drift,Volt Switch,Draco Meteor,Dazzling Gleam
Lunala,Electric Seed,Shadow Shield,50,Fairy,,0,0,0,0,0,0,31,31,31,31,31,31,Trick Room,Moonblast,Wide Guard,Moongeist Beam
Incineroar,Assault Vest,Intimidate,50,Bug,,0,0,0,0,0,0,31,31,31,31,31,31,U-turn,Knock Off,Flare Blitz,Fake Out
Rillaboom,Assault Vest,Grassy Surge,50,Fire,,0,0,0,0,0,0,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Calyrex-Shadow,Life Orb,As One,50,Dark,,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Zamazenta,Rusted Shield,Dauntless Shield,50,Water,,0,0,0,0,0,0,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Incineroar,Rocky Helmet,Intimidate,50,Water,,0,0,0,0,0,0,31,31,31,31,31,31,Knock Off,Helping Hand,Parting Shot,Fake Out
Raging Bolt,Booster Energy,Protosynthesis,50,Electric,,0,0,0,0,0,0,31,31,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,50,Fire,,0,0,0,0,0,0,31,31,31,31,31,31,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield
Miraidon,Choice Specs,Hadron Engine,50,Fairy,Timid,108,0,52,212,4,132,31,31,31,31,31,31,Electro Drift,Dazzling Gleam,Volt Switch,Draco Meteor
Calyrex-Ice,Leftovers,As One (Glastrier),50,Water,Adamant,252,36,4,0,180,36,31,31,31,31,31,31,Glacial Lance,Leech Seed,Trick Room,Protect
Incineroar,Assault Vest,Intimidate,50,Bug,Adamant,252,116,36,0,28,76,31,31,31,31,31,31,Flare Blitz,Knock Off,U-turn,Fake Out
Landorus,Life Orb,Sheer Force,50,Poison,Modest,220,0,4,252,4,28,31,0,31,31,31,31,Sandsear Storm,Earth Power,Sludge Bomb,Protect
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,50,Water,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Surging Strikes,Close Combat,Aqua Jet,U-turn
